Date,Symbol,Company,Open,High,Low,Close,Volume
2024-01-02,AAPL,Apple Inc.,185.02,187.50,183.20,186.85,85244800
2024-01-03,AAPL,Apple Inc.,186.50,189.00,185.75,188.50,72311200
2024-01-04,AAPL,Apple Inc.,188.20,189.50,187.00,188.75,68912500
2024-01-05,AAPL,Apple Inc.,188.50,190.25,187.75,190.00,71233600
2024-01-06,AAPL,Apple Inc.,189.75,192.00,189.00,191.50,78456700
2024-01-02,MSFT,Microsoft Corp.,415.20,418.00,413.50,417.30,41523600
2024-01-03,MSFT,Microsoft Corp.,417.50,420.10,416.80,419.75,38912500
2024-01-04,MSFT,Microsoft Corp.,419.80,422.50,418.20,421.00,36789100
2024-01-05,MSFT,Microsoft Corp.,421.10,424.00,419.50,423.25,39211300
2024-01-06,MSFT,Microsoft Corp.,423.50,426.80,422.00,425.00,42112400
2024-01-02,GOOGL,Alphabet Inc.,143.20,145.50,142.80,144.80,28312700
2024-01-03,GOOGL,Alphabet Inc.,145.00,147.20,144.50,146.50,26845300
2024-01-04,GOOGL,Alphabet Inc.,146.70,148.50,146.00,147.80,25123400
2024-01-05,GOOGL,Alphabet Inc.,147.50,149.20,146.80,149.10,27112500
2024-01-06,GOOGL,Alphabet Inc.,149.20,151.00,148.50,150.40,29321800
2024-01-02,AMZN,Amazon.com Inc.,3720.50,3750.00,3710.00,3735.20,12345600
2024-01-03,AMZN,Amazon.com Inc.,3738.00,3765.00,3732.00,3752.10,11876500
2024-01-04,AMZN,Amazon.com Inc.,3755.00,3780.00,3748.00,3768.50,11234500
2024-01-05,AMZN,Amazon.com Inc.,3770.00,3800.00,3762.00,3785.20,11987600
2024-01-06,AMZN,Amazon.com Inc.,3787.00,3820.00,3775.00,3801.10,12567800
2024-01-02,TSLA, Tesla Inc.,245.30,251.00,243.50,248.75,92345600
2024-01-03,TSLA, Tesla Inc.,248.50,253.20,247.00,250.50,89123400
2024-01-04,TSLA, Tesla Inc.,250.75,255.00,248.80,252.25,85678900
2024-01-05,TSLA, Tesla Inc.,252.00,257.50,251.00,254.00,82345600
2024-01-06,TSLA, Tesla Inc.,254.50,259.80,253.00,256.50,79123400
